cemetery,time_base,date,graves_best
Barakaat 2,355,2016-12-27,0
Barakaat 2,356,2016-12-28,0
Barakaat 2,357,2016-12-29,0
Barakaat 2,358,2016-12-30,0
Barakaat 2,359,2016-12-31,0
Barakaat 2,360,2017-01-01,0
Barakaat 2,361,2017-01-02,0
Barakaat 2,362,2017-01-03,0
Barakaat 2,363,2017-01-04,0
Iskool Bolisii,363,2017-01-04,243
Kahda,363,2017-01-04,77
Barakaat 2,364,2017-01-05,0
Barakaat 2,365,2017-01-06,0
Barakaat 2,366,2017-01-07,0
Barakaat 2,367,2017-01-08,0
Barakaat 2,368,2017-01-09,0
Barakaat 2,369,2017-01-10,0
Barakaat 2,370,2017-01-11,0
Barakaat 2,371,2017-01-12,0
Barakaat 2,372,2017-01-13,0
Barakaat 2,373,2017-01-14,0
Barakaat 2,374,2017-01-15,0
Barakaat 2,375,2017-01-16,0
Barakaat 2,376,2017-01-17,0
Barakaat 2,377,2017-01-18,0
Barakaat 2,378,2017-01-19,0
Barakaat 2,379,2017-01-20,0
Barakaat 2,380,2017-01-21,0
Barakaat 2,381,2017-01-22,0
Barakaat 2,382,2017-01-23,0
Barakaat 2,383,2017-01-24,0
Barakaat 2,384,2017-01-25,0
Barakaat 2,385,2017-01-26,0
Barakaat 2,386,2017-01-27,0
Barakaat 2,387,2017-01-28,0
Barakaat 2,388,2017-01-29,0
Barakaat 2,389,2017-01-30,0
Barakaat 2,390,2017-01-31,0
Barakaat 2,391,2017-02-01,0
Barakaat 2,392,2017-02-02,0
Barakaat 2,393,2017-02-03,0
Barakaat 2,394,2017-02-04,0
Barakaat 2,395,2017-02-05,0
Barakaat 2,396,2017-02-06,0
Barakaat 2,397,2017-02-07,0
Barakaat 2,398,2017-02-08,0
Barakaat 2,399,2017-02-09,0
Barakaat 2,400,2017-02-10,0
Barakaat 2,401,2017-02-11,0
Barakaat 2,402,2017-02-12,0
Barakaat 2,403,2017-02-13,0
Barakaat 2,404,2017-02-14,0
Barakaat 2,405,2017-02-15,0
Barakaat 2,406,2017-02-16,0
Barakaat 2,407,2017-02-17,0
Barakaat 2,408,2017-02-18,0
Barakaat 2,409,2017-02-19,0
Barakaat 2,410,2017-02-20,0
Barakaat 2,411,2017-02-21,0
Barakaat 2,412,2017-02-22,0
Barakaat 2,413,2017-02-23,0
Barakaat 2,414,2017-02-24,0
Barakaat 2,415,2017-02-25,0
Barakaat 1,416,2017-02-26,1068
Barakaat 2,416,2017-02-26,0
Barakaat 2,417,2017-02-27,0
Barakaat 2,418,2017-02-28,0
Barakaat 2,419,2017-03-01,0
Barakaat 2,420,2017-03-02,0
Barakaat 2,421,2017-03-03,0
Barakaat 2,422,2017-03-04,0
Barakaat 2,423,2017-03-05,0
Barakaat 2,424,2017-03-06,0
Barakaat 2,425,2017-03-07,0
Barakaat 2,426,2017-03-08,0
Barakaat 2,427,2017-03-09,0
Barakaat 2,428,2017-03-10,0
Barakaat 2,429,2017-03-11,0
Barakaat 2,430,2017-03-12,0
Barakaat 2,431,2017-03-13,0
Barakaat 2,432,2017-03-14,0
Barakaat 2,433,2017-03-15,0
Barakaat 2,434,2017-03-16,0
Barakaat 2,435,2017-03-17,0
Barakaat 2,436,2017-03-18,0
Barakaat 2,437,2017-03-19,0
Barakaat 2,438,2017-03-20,0
Barakaat 2,439,2017-03-21,0
Barakaat 2,440,2017-03-22,0
Barakaat 2,441,2017-03-23,0
Barakaat 2,442,2017-03-24,0
Barakaat 2,443,2017-03-25,0
Barakaat 2,444,2017-03-26,0
Barakaat 2,445,2017-03-27,0
Barakaat 2,446,2017-03-28,0
Barakaat 2,447,2017-03-29,0
Barakaat 2,448,2017-03-30,0
Barakaat 2,449,2017-03-31,0
Barakaat 2,450,2017-04-01,0
Barakaat 2,451,2017-04-02,0
Barakaat 2,452,2017-04-03,0
Barakaat 2,453,2017-04-04,0
Barakaat 2,454,2017-04-05,0
Barakaat 2,455,2017-04-06,0
Barakaat 2,456,2017-04-07,0
Barakaat 2,457,2017-04-08,0
Barakaat 2,458,2017-04-09,0
Barakaat 2,459,2017-04-10,0
Barakaat 2,460,2017-04-11,0
Barakaat 2,461,2017-04-12,0
Barakaat 2,462,2017-04-13,0
Barakaat 2,463,2017-04-14,0
Barakaat 2,464,2017-04-15,0
Barakaat 2,465,2017-04-16,0
Barakaat 2,466,2017-04-17,0
Barakaat 2,467,2017-04-18,0
Barakaat 2,468,2017-04-19,0
Barakaat 2,469,2017-04-20,0
Barakaat 2,470,2017-04-21,0
Barakaat 2,471,2017-04-22,0
Barakaat 2,472,2017-04-23,0
Barakaat 2,473,2017-04-24,0
Barakaat 2,474,2017-04-25,0
Barakaat 2,475,2017-04-26,0
Barakaat 2,476,2017-04-27,0
Barakaat 2,477,2017-04-28,0
Barakaat 2,478,2017-04-29,0
Barakaat 2,479,2017-04-30,0
Barakaat 2,480,2017-05-01,0
Barakaat 2,481,2017-05-02,0
Barakaat 2,482,2017-05-03,0
Barakaat 2,483,2017-05-04,0
Barakaat 2,484,2017-05-05,0
Barakaat 2,485,2017-05-06,0
Barakaat 2,486,2017-05-07,0
Barakaat 2,487,2017-05-08,0
Barakaat 2,488,2017-05-09,0
Barakaat 2,489,2017-05-10,0
Barakaat 2,490,2017-05-11,0
Barakaat 2,491,2017-05-12,0
Barakaat 2,492,2017-05-13,0
Barakaat 2,493,2017-05-14,0
Barakaat 2,494,2017-05-15,0
Barakaat 2,495,2017-05-16,0
Barakaat 2,496,2017-05-17,0
Barakaat 2,497,2017-05-18,0
Barakaat 2,498,2017-05-19,0
Barakaat 2,499,2017-05-20,0
Barakaat 2,500,2017-05-21,0
Barakaat 2,501,2017-05-22,0
Barakaat 2,502,2017-05-23,0
Barakaat 2,503,2017-05-24,0
Barakaat 2,504,2017-05-25,0
Barakaat 2,505,2017-05-26,0
Barakaat 2,506,2017-05-27,0
Barakaat 2,507,2017-05-28,0
Barakaat 2,508,2017-05-29,0
Barakaat 2,509,2017-05-30,0
Barakaat 2,510,2017-05-31,0
Barakaat 2,511,2017-06-01,0
Barakaat 2,512,2017-06-02,0
Barakaat 2,513,2017-06-03,0
Barakaat 2,514,2017-06-04,0
Barakaat 2,515,2017-06-05,0
Barakaat 2,516,2017-06-06,0
Barakaat 2,517,2017-06-07,0
Barakaat 2,518,2017-06-08,0
Barakaat 2,519,2017-06-09,0
Barakaat 2,520,2017-06-10,0
Barakaat 2,521,2017-06-11,0
Barakaat 2,522,2017-06-12,0
Barakaat 2,523,2017-06-13,0
Barakaat 2,524,2017-06-14,0
Barakaat 2,525,2017-06-15,0
Barakaat 2,526,2017-06-16,0
Barakaat 2,527,2017-06-17,0
Barakaat 2,528,2017-06-18,0
Barakaat 2,529,2017-06-19,0
Barakaat 2,530,2017-06-20,0
Barakaat 2,531,2017-06-21,0
Barakaat 2,532,2017-06-22,0
Barakaat 2,533,2017-06-23,0
Barakaat 2,534,2017-06-24,0
Barakaat 2,535,2017-06-25,0
Barakaat 2,536,2017-06-26,0
Barakaat 2,537,2017-06-27,0
Barakaat 2,538,2017-06-28,0
Barakaat 2,539,2017-06-29,0
Barakaat 2,540,2017-06-30,0
Barakaat 2,541,2017-07-01,0
Barakaat 2,542,2017-07-02,0
Barakaat 2,543,2017-07-03,0
Barakaat 2,544,2017-07-04,0
Barakaat 2,545,2017-07-05,0
Barakaat 2,546,2017-07-06,0
Barakaat 2,547,2017-07-07,0
Barakaat 2,548,2017-07-08,0
Barakaat 2,549,2017-07-09,0
Barakaat 2,550,2017-07-10,0
Barakaat 2,551,2017-07-11,0
Barakaat 2,552,2017-07-12,0
Barakaat 2,553,2017-07-13,0
Barakaat 2,554,2017-07-14,0
Barakaat 2,555,2017-07-15,0
Barakaat 2,556,2017-07-16,0
Barakaat 2,557,2017-07-17,0
Barakaat 2,558,2017-07-18,0
Barakaat 2,559,2017-07-19,0
Barakaat 2,560,2017-07-20,0
Barakaat 2,561,2017-07-21,0
Barakaat 2,562,2017-07-22,0
Barakaat 2,563,2017-07-23,0
Barakaat 2,564,2017-07-24,0
Barakaat 2,565,2017-07-25,0
